,doc_id,vol_1,vol_1_type,price_1,price_1_type,maturity,instrument_type,product_type,price_2,price_2_type,price_3,price_3_type,price_4,price_4_type,price_5,price_5_type
6,CLR20130228,6570000,bbls,,floor,20142014,swap,oil,,floor,,ceiling,,ceiling,,
7,CLR20130228,2190000,bbls,$90.00|$95.00,floor,20142014,collar,oil,$90.83,floor,$104.70|$108.85,ceiling,$107.13,ceiling,,
9,CLR20130228,1277500,bbls,,floor,20152015,swap,oil,,floor,,ceiling,,ceiling,,
5,CLR20130228,18250000,mmbtu,$3.76,swapsweightedaverage,20132013,swap,natural gas,,,,,,,,
3,CLR20140227,6205000,bbls,$100.27,weighted average price,20152015,swap,oil,,,,,,,,
3,CLR20140227,40495000,mmbtu,$4.26,weighted average price,20142014,swap,natural gas,,,,,,,,
5,CLR20140227,22700000,mmbtu,$4.27,weighted average price,20152015,swap,natural gas,,,,,,,,
7,CLR20140227,4550000,mmbtu,$4.27,weighted average price,20162016,swap,natural gas,,,,,,,,
4,CLR20140227,10851250,bbls,$96.50,swapsweightedaverage,20142014,swap,oil,,,,,,,,
5,CLR20140227,17028000,bbls,$103.17,swapsweightedaverage,20142014,swap,oil,,,,,,,,
6,CLR20140227,2190000,bbls,,swapsweightedaverage,20142014,collar,oil,,,,,,,,
8,CLR20140227,2737500,bbls,$99.15,swapsweightedaverage,20152015,swap,oil,,,,,,,,
9,CLR20140227,730000,bbls,,swapsweightedaverage,20152015,collar,oil,,,,,,,,
5,CLR20140227,17028000,bbls,,floor,20142014,swap,oil,,floor,,ceiling,,ceiling,,
6,CLR20140227,2190000,bbls,$90.00|$95.00,floor,20142014,collar,oil,$90.83,floor,$104.70|$108.85,ceiling,$107.13,ceiling,,
8,CLR20140227,2737500,bbls,,floor,20152015,swap,oil,,floor,,ceiling,,ceiling,,
9,CLR20140227,730000,bbls,$95.00,floor,20152015,collar,oil,$95.00,floor,$107.40,ceiling,$107.40,ceiling,,
5,CLR20140227,64250000,mmbtu,$4.19,swapsweightedaverage,20142014,swap,natural gas,,,,,,,,
7,CLR20140227,1800000,mmbtu,$4.27,swapsweightedaverage,20152015,swap,natural gas,,,,,,,,
5,CLR20150224,2208000,bbls,$95.85|$103.75,ceiling,20152015,call,oil,$98.36,ceiling,,,,,,
5,CLR20150224,368000,bbls,$107.40,ceiling,20152015,call,oil,$107.40,ceiling,,,,,,
7,CLR20150224,1464000,bbls,$107.70,ceiling,20162016,call,oil,$107.70,ceiling,,,,,,
5,CLR20150224,24500000,mmbtu,$4.27,swapsweightedaverage,20152015,swap,natural gas,,floor,,floor,,ceiling,,ceiling
6,CLR20150224,29200000,mmbtu,,swapsweightedaverage,20152015,collar,natural gas,$3.50|$3.75,floor,$3.69,floor,$4.89|$5.48,ceiling,$5.04,ceiling
8,CLR20150224,63110000,mmbtu,$3.98,swapsweightedaverage,20162016,swap,natural gas,,floor,,floor,,ceiling,,ceiling
5,CLR20160224,1464000,bbls,$107.70,ceiling,20162016,call,oil,,,,,,,,
5,CLR20160224,133710000,mmbtu,$3.17,swapsweightedaverage,20162016,swap,natural gas,,floor,,floor,,ceiling,,ceiling
7,CLR20160224,25550000,mmbtu,$3.35,swapsweightedaverage,20172017,swap,natural gas,,floor,,floor,,ceiling,,ceiling
8,CLR20160224,65700000,mmbtu,,swapsweightedaverage,20172017,collar,natural gas,$2.40|$3.00,floor,$2.47,floor,$2.92|$3.88,ceiling,$3.08,ceiling
5,CLR20170222,49520000,mmbtu,$3.37,swapsweightedaverage,20172017,swap,natural gas,,,,,,,,
7,CLR20170222,6300000,mmbtu,$3.28,swapsweightedaverage,20182018,swap,natural gas,,,,,,,,
5,CLR20170222,72690000,mmbtu,$3.41,swapsweightedaverage,20172017,swap,natural gas,,floor,,floor,,ceiling,,ceiling
6,CLR20170222,65700000,mmbtu,,swapsweightedaverage,20172017,collar,natural gas,$2.40|$3.00,floor,$2.47,floor,$2.92|$3.88,ceiling,$3.08,ceiling
