date,comnam,ticker,permno,permco,vol,shrout,mv_permco,ret1,F1ret,prc,year,month,logsize,L1ret_1,L1ret_6,L1ret_11
31may1996,"PHILLIPS PETROLEUM CO","P",13928,21401,187377,262068,10875.82,.0073494,.0090361,41.5,1996,5,9.294297,.0506329,.3106751,.176867
28jun1996,"PHILLIPS PETROLEUM CO","P",13928,21401,99759,262911,11009.4,.0090361,-.0490746,41.875,1996,6,9.306504,.0073494,.2642496,.2876394
31jul1996,"PHILLIPS PETROLEUM CO","P",13928,21401,117220,262911,10384.98,-.0490746,.0253165,39.5,1996,7,9.248116,.0090361,.2476367,.2258174
30aug1996,"PHILLIPS PETROLEUM CO","P",13928,21401,88751,263159,10657.94,.0253165,.0555556,40.5,1996,8,9.27406,-.0490746,.2248138,.2427744
30sep1996,"PHILLIPS PETROLEUM CO","P",13928,21401,79509,263159,11250.05,.0555556,-.0392982,42.75,1996,9,9.328128,.0253165,.1750904,.2889397
31oct1996,"PHILLIPS PETROLEUM CO","P",13928,21401,105789,263159,10723.73,-.0392982,.107362,40.75,1996,10,9.280214,.0555556,.0990648,.3710943
29nov1996,"PHILLIPS PETROLEUM CO","P",13928,21401,108590,263159,11875.05,.107362,-.0193906,45.125,1996,11,9.382195,-.0392982,.004988,.261286
31dec1996,"PHILLIPS PETROLEUM CO","P",13928,21401,106988,263183,11645.85,-.0193906,.0044068,44.25,1996,12,9.362705,.107362,.1047662,.3660034
31jan1997,"PHILLIPS PETROLEUM CO","P",13928,21401,116432,263183,11612.95,.0044068,-.0623229,44.125,1997,1,9.359876,-.0193906,.0736425,.3828763
28feb1997,"PHILLIPS PETROLEUM CO","P",13928,21401,94404,263183,10889.2,-.0623229,-.0120846,41.375,1997,2,9.295527,.0044068,.1340257,.2996795
31mar1997,"PHILLIPS PETROLEUM CO","P",13928,21401,156529,263118,10754.95,-.0120846,-.0283792,40.875,1997,3,9.283121,-.0623229,.0370943,.0798427
30apr1997,"PHILLIPS PETROLEUM CO","P",13928,21401,165838,263118,10360.27,-.0283792,.0793651,39.375,1997,4,9.245733,-.0120846,-.0293628,.0153815
30may1997,"PHILLIPS PETROLEUM CO","P",13928,21401,126564,263615,11203.64,.0793651,.0294118,42.5,1997,5,9.323994,-.0283792,-.0183308,-.020632
30jun1997,"PHILLIPS PETROLEUM CO","P",13928,21401,155902,263615,11533.16,.0294118,.0606286,43.75,1997,6,9.352982,.0793651,-.0431499,.0476291
31jul1997,"PHILLIPS PETROLEUM CO","P",13928,21401,138746,263615,12142.77,.0606286,.0325645,46.0625,1997,7,9.404489,.0294118,.00447,.1340971
29aug1997,"PHILLIPS PETROLEUM CO","P",13928,21401,116693,263442,12529.96,.0325645,.0854139,47.5625,1997,8,9.435878,.0606286,.0606953,.1731557
30sep1997,"PHILLIPS PETROLEUM CO","P",13928,21401,118089,263442,13600.19,.0854139,-.056368,51.625,1997,9,9.517839,.0325645,.1680315,.1476031
31oct1997,"PHILLIPS PETROLEUM CO","P",13928,21401,156643,263442,12744.01,-.056368,.001292,48.375,1997,10,9.452816,.0854139,.2833058,.2965776
28nov1997,"PHILLIPS PETROLEUM CO","P",13928,21401,96941,263153,12746.47,.001292,.003871,48.4375,1997,11,9.45301,-.056368,.2463385,.104871
31dec1997,"PHILLIPS PETROLEUM CO","P",13928,21401,102653,263153,12795.81,.003871,-.0881234,48.625,1997,12,9.456873,.001292,.1561878,.1281744
30jan1998,"PHILLIPS PETROLEUM CO","P",13928,21401,169310,263153,11578.73,-.0881234,.1136364,44,1998,1,9.356925,.003871,.1275016,.1275726
27feb1998,"PHILLIPS PETROLEUM CO","P",13928,21401,128889,263153,12894.5,.1136364,.0191327,49,1998,2,9.464556,-.0881234,-.0306292,.0965471
31mar1998,"PHILLIPS PETROLEUM CO","P",13928,21401,132011,262404,13103.8,.0191327,-.0007009,49.9375,1998,3,9.480658,.1136364,.045481,.2360924
30apr1998,"PHILLIPS PETROLEUM CO","P",13928,21401,96347,262404,13005.4,-.0007009,.0063052,49.5625,1998,4,9.47312,.0191327,-.0183617,.2965368
29may1998,"PHILLIPS PETROLEUM CO","P",13928,21401,138549,261049,13019.82,.0063052,-.0338346,49.875,1998,5,9.474228,-.0007009,.0395475,.2003613
30jun1998,"PHILLIPS PETROLEUM CO","P",13928,21401,122179,261049,12579.3,-.0338346,-.0746563,48.1875,1998,6,9.439808,.0063052,.0447522,.1734175
31jul1998,"PHILLIPS PETROLEUM CO","P",13928,21401,99285,261049,11551.42,-.0746563,-.0776836,44.25,1998,7,9.354564,-.0338346,.0055112,.068909
31aug1998,"PHILLIPS PETROLEUM CO","P",13928,21401,156772,258385,10545.34,-.0776836,.1056662,40.8125,1998,8,9.263439,-.0746563,.0203611,-.0420857
30sep1998,"PHILLIPS PETROLEUM CO","P",13928,21401,141896,258385,11659.62,.1056662,-.0340166,45.125,1998,9,9.363887,-.0776836,-.1549344,-.1860248
30oct1998,"PHILLIPS PETROLEUM CO","P",13928,21401,140395,258385,11175.15,-.0340166,-.0289017,43.25,1998,10,9.321448,.1056662,-.0831808,-.0462544
30nov1998,"PHILLIPS PETROLEUM CO","P",13928,21401,120200,254625,10694.25,-.0289017,.014881,42,1998,11,9.277461,-.0340166,-.1137467,-.0798864
31dec1998,"PHILLIPS PETROLEUM CO","P",13928,21401,195777,254625,10853.39,.014881,-.0938416,42.625,1998,12,9.292233,-.0289017,-.1447534,-.1099247
29jan1999,"PHILLIPS PETROLEUM CO","P",13928,21401,191203,254625,9834.891,-.0938416,.0104207,38.625,1999,1,9.193691,.014881,-.1016306,-.009383
26feb1999,"PHILLIPS PETROLEUM CO","P",13928,21401,163390,254625,9850.805,.0104207,.2213247,38.6875,1999,2,9.195309,-.0938416,-.1202567,-.1939417
31mar1999,"PHILLIPS PETROLEUM CO","P",13928,21401,168741,251637,11889.85,.2213247,.0786243,47.25,1999,3,9.38344,.0104207,-.0362192,-.2008322
30apr1999,"PHILLIPS PETROLEUM CO","P",13928,21401,167771,251637,12739.12,.0786243,.0358025,50.625,1999,4,9.452433,.2213247,.0645974,-.023272
28may1999,"PHILLIPS PETROLEUM CO","P",13928,21401,122893,252509,13240.94,.0358025,-.0405244,52.4375,1999,5,9.491069,.0786243,.1887375,.0469215
30jun1999,"PHILLIPS PETROLEUM CO","P",13928,21401,115997,252509,12704.36,-.0405244,.0266335,50.3125,1999,6,9.4497,.0358025,.267943,.1223791
30jul1999,"PHILLIPS PETROLEUM CO","P",13928,21401,120328,252509,12956.87,.0266335,-.0060901,51.3125,1999,7,9.469381,-.0405244,.1987222,.1637788
31aug1999,"PHILLIPS PETROLEUM CO","P",13928,21401,94334,253295,12918.04,-.0060901,-.0441176,51,1999,8,9.46638,.0266335,.3580942,.2954062
30sep1999,"PHILLIPS PETROLEUM CO","P",13928,21401,147645,253295,12348.13,-.0441176,-.0391795,48.75,1999,9,9.42126,-.0060901,.3359022,.1644717
29oct1999,"PHILLIPS PETROLEUM CO","P",13928,21401,111015,253295,11778.22,-.0391795,.0282258,46.5,1999,10,9.374007,-.0441176,.0455576,.1522951
30nov1999,"PHILLIPS PETROLEUM CO","P",13928,21401,100670,253284,12110.14,.0282258,-.0169935,47.8125,1999,11,9.401798,-.0391795,-.0686348,.1400997
31dec1999,"PHILLIPS PETROLEUM CO","P",13928,21401,127610,253284,11904.35,-.0169935,-.1303191,47,1999,12,9.384659,.0282258,-.0754475,.155091
