,doc_id,datetime_1,datetime_1_type,vol_1,vol_1_type,price_1,price_1_type,price_2,price_2_type,price_3,price_3_type,vol_2,vol_2_type,price_4,price_4_type,price_5,price_5_type,vol_3,vol_3_type,price_6,price_6_type,instrument_type,product_type,additional,price_7,price_7_type,price_8,price_8_type,price_9,price_9_type,price_10,price_10_type,price_11,price_11_type,price_12,price_12_type,price_13,price_13_type,vol_4,vol_4_type
0,APC20050315,"2005,,",index,2.0,"two-way collars (mbbls/d),",$26.32,"ceiling sold price,nymex price per barrel",$22.0,"floor purchased price,nymex price per barrel",$46.89,"ceiling sold price,nymex price per barrel,",43.0,"three-way collars (mbbls/d),nymex price per barrel",$32.28,"floor purchased price,nymex price per barrel,",$27.28,"floor sold price,nymex price per barrel",,,,,collar,oil,,,,,,,,,,,,,,,,,
1,APC20050315,"2006,",index,1,"two-way collars (mbbls/d),",$26.32,"ceiling sold price,nymex price per barrel",$22.00,"floor purchased price,nymex price per barrel",,"ceiling sold price,nymex price per barrel,",,"three-way collars (mbbls/d),nymex price per barrel",,"floor purchased price,nymex price per barrel,",,"floor sold price,nymex price per barrel",,,,,collar,oil,,,,,,,,,,,,,,,,,
3,APC20060303,,,,,,,,,,,,,,,,,,,,,@,natural gas,united states,,,,,,,,,,,,,,,,
4,APC20060303,,,,,,,,,,,,,,,,,,,,,@,oil,united states,,,,,,,,,,,,,,,,
5,APC20060303,,,,,,,,,,,,,,,,,,,,,@,natural gas liquid natural gas natural gas,united states,,,,,,,,,,,,,,,,
8,APC20060303,,,,,,,,,,,,,,,,,,,,,@,natural gas,canada,,,,,,,,,,,,,,,,
9,APC20060303,,,,,,,,,,,,,,,,,,,,,@,oil,canada,,,,,,,,,,,,,,,,
10,APC20060303,,,,,,,,,,,,,,,,,,,,,@,natural gas liquid natural gas natural gas,canada,,,,,,,,,,,,,,,,
13,APC20060303,,,,,,,,,,,,,,,,,,,,,@,oil,algeria,,,,,,,,,,,,,,,,
16,APC20060303,,,,,,,,,,,,,,,,,,,,,@,oil,other international,,,,,,,,,,,,,,,,
0,APC20060303,"2005,,,",index,,,,,,,,,,,,,,,,,,,@,"natural gas, natural gas liquid",,,,,,,,,,,,,,,,,
1,APC20060303,"2004,,,",index,,,,,,,,,,,,,,,,,,,@,"natural gas, natural gas liquid",,,,,,,,,,,,,,,,,
2,APC20060303,"2003,,,",index,,,,,,,,,,,,,,,,,,,@,"natural gas, natural gas liquid",,,,,,,,,,,,,,,,,
0,APC20060303,"2005,,,",index,44.35,"oil and condensate (per barrel),",,,,,,,,,,,,,,,,,@,oil,,,,,,,,,,,,,,,,,
1,APC20060303,"2004,,,",index,31.65,"oil and condensate (per barrel),",,,,,,,,,,,,,,,,,@,oil,,,,,,,,,,,,,,,,,
2,APC20060303,"2003,,,",index,26.14,"oil and condensate (per barrel),",,,,,,,,,,,,,,,,,@,oil,,,,,,,,,,,,,,,,,
0,APC20060303,"2005,,,",index,34.56,"natural gas liquids (per barrel),",$8.11,"production cost (per boe),",$7.29,"natural gas (per mcf),sales price",49.48,"oil and condensate (per barrel),sales price",,,33.75,"natural gas liquids (per barrel),sales price",$9.34,"production cost (per boe),sales price",,,$54.38,"oil and condensate (per barrel),sales price,",@,"natural gas liquid, natural gas, oil",,$2.88,"production cost (per boe),sales price,",$39.37,"oil and condensate (per barrel),sales price,,",$8.4,"production cost (per boe),sales price,,",$7.19,"natural gas (per mcf),sales price,",47.92,"oil and condensate (per barrel),sales price,,,",34.53,"natural gas liquids (per barrel),sales price,",$7.51,"production cost (per boe),sales price,,,",,
1,APC20060303,"2004,,,",index,27.84,"natural gas liquids (per barrel),",$6.41,"production cost (per boe),",$5.17,"natural gas (per mcf),sales price",37.37,"oil and condensate (per barrel),sales price",,,26.21,"natural gas liquids (per barrel),sales price",$8.75,"production cost (per boe),sales price",,,$34.78,"oil and condensate (per barrel),sales price,",@,"natural gas liquid, natural gas, oil",,$2.94,"production cost (per boe),sales price,",$27.91,"oil and condensate (per barrel),sales price,,",$7.93,"production cost (per boe),sales price,,",$5.18,"natural gas (per mcf),sales price,",32.66,"oil and condensate (per barrel),sales price,,,",27.76,"natural gas liquids (per barrel),sales price,",$6.43,"production cost (per boe),sales price,,,",,
2,APC20060303,"2003,,,",index,21.19,"natural gas liquids (per barrel),",$5.49,"production cost (per boe),",$4.71,"natural gas (per mcf),sales price",27.42,"oil and condensate (per barrel),sales price",,,21.04,"natural gas liquids (per barrel),sales price",$8.01,"production cost (per boe),sales price",,,$28.43,"oil and condensate (per barrel),sales price,",@,"natural gas liquid, natural gas, oil",,$2.44,"production cost (per boe),sales price,",$23.15,"oil and condensate (per barrel),sales price,,",$8.9,"production cost (per boe),sales price,,",$4.42,"natural gas (per mcf),sales price,",26.55,"oil and condensate (per barrel),sales price,,,",21.18,"natural gas liquids (per barrel),sales price,",$5.71,"production cost (per boe),sales price,,,",,
0,APC20060303,",2006,,",index,10.0,"two-way collars (thousand mmbtu/d),no,",$5.88,"ceiling sold price,,price per mmbtu",$4.0,"floor purchased price,,price per mmbtu",$2.87,"price per mmbtu,,price per mmbtu",11.0,"fixed price physical delivery (thousand mmbtu/d),no,price per mmbtu",,,,,,,,,collar,natural gas,,,,,,,,,,,,,,,,,
0,APC20060303,",,2006,",index,1,"two-way collars (mbbls/d),no,",$26.32,"ceiling sold price,,price per barrel",$22.00,"floor purchased price,,price per barrel",,"ceiling sold price,,price per barrel,",,"three-way collars (mbbls/d),yes,price per barrel",,"floor purchased price,,price per barrel,",,"floor sold price,,price per barrel",,,,,collar,oil,,,,,,,,,,,,,,,,,
1,APC20060303,"five year,average,2007|2011,",index,,"two-way collars (mbbls/d),no,",,"ceiling sold price,,price per barrel",,"floor purchased price,,price per barrel",$85.43,"ceiling sold price,,price per barrel,",9,"three-way collars (mbbls/d),yes,price per barrel",$49.46,"floor purchased price,,price per barrel,",$34.46,"floor sold price,,price per barrel",,,,,collar,oil,,,,,,,,,,,,,,,,,
0,APC20070228,2007,index,30,"three-way collars (thousand mmbtu/d),natural gas,",$11.23,"ceiling sold price,natural gas,price per mmbtu",$9.00,"floor purchased price,natural gas,price per mmbtu",$6.00,"floor sold price,natural gas,price per mmbtu",386,"two-way collars (thousand mmbtu/d),natural gas,price per mmbtu",$10.73,"ceiling sold price,natural gas,price per mmbtu,",$6.27,"floor purchase price,natural gas,price per mmbtu",405,"fixed price (thousand mmbtu/d),natural gas,price per mmbtu",$7.14,"price per mmbtu,natural gas,price per mmbtu",collar,natural gas,,,,,,,,,,,,,,,,,
1,APC20070228,2008,index,500,"three-way collars (thousand mmbtu/d),natural gas,",$14.26,"ceiling sold price,natural gas,price per mmbtu",$7.50,"floor purchased price,natural gas,price per mmbtu",$5.00,"floor sold price,natural gas,price per mmbtu",,"two-way collars (thousand mmbtu/d),natural gas,price per mmbtu",,"ceiling sold price,natural gas,price per mmbtu,",,"floor purchase price,natural gas,price per mmbtu",105,"fixed price (thousand mmbtu/d),natural gas,price per mmbtu",$8.16,"price per mmbtu,natural gas,price per mmbtu",collar,natural gas,,,,,,,,,,,,,,,,,
2,APC20070228,2009,index,50,"three-way collars (thousand mmbtu/d),natural gas,",$12.60,"ceiling sold price,natural gas,price per mmbtu",$7.50,"floor purchased price,natural gas,price per mmbtu",$5.00,"floor sold price,natural gas,price per mmbtu",,"two-way collars (thousand mmbtu/d),natural gas,price per mmbtu",,"ceiling sold price,natural gas,price per mmbtu,",,"floor purchase price,natural gas,price per mmbtu",90,"fixed price (thousand mmbtu/d),natural gas,price per mmbtu",$7.84,"price per mmbtu,natural gas,price per mmbtu",collar,natural gas,,,,,,,,,,,,,,,,,
0,APC20070228,2007,index,557,"basis swaps (thousand mmbtu/d),natural gas,price per mmbtu",$(1.08,"price per mmbtu,natural gas,price per mmbtu,",,,,,,,,,,,,,,,"basis swap, swap",natural gas,,,,,,,,,,,,,,,,,
1,APC20070228,2008,index,575,"basis swaps (thousand mmbtu/d),natural gas,price per mmbtu",$(1.05,"price per mmbtu,natural gas,price per mmbtu,",,,,,,,,,,,,,,,"basis swap, swap",natural gas,,,,,,,,,,,,,,,,,
2,APC20070228,2009,index,20,"basis swaps (thousand mmbtu/d),natural gas,price per mmbtu",$(1.08,"price per mmbtu,natural gas,price per mmbtu,",,,,,,,,,,,,,,,"basis swap, swap",natural gas,,,,,,,,,,,,,,,,,
0,APC20070228,2007,index,35,"three-way collars (mbbls/d),crude oil,price per mmbtu",,,,,,,,,,,,,,,,,collar,"natural gas, oil",,,,,,,,,,,,,,,,,
1,APC20070228,2008,index,86,"three-way collars (mbbls/d),crude oil,price per mmbtu",,,,,,,,,,,,,,,,,collar,"natural gas, oil",,,,,,,,,,,,,,,,,
2,APC20070228,2009,index,48,"three-way collars (mbbls/d),crude oil,price per mmbtu",,,,,,,,,,,,,,,,,collar,"natural gas, oil",,,,,,,,,,,,,,,,,
3,APC20070228,average2010|2012,index,8,"three-way collars (mbbls/d),crude oil,price per mmbtu",,,,,,,,,,,,,,,,,collar,"natural gas, oil",,,,,,,,,,,,,,,,,
0,APC20070228,2007,index,19,"two-way collars (mbbls/d),crude oil,price per barrel",$86.16,"ceiling sold price,crude oil,price per barrel",$58.57,"floor purchased price,crude oil,price per barrel",$43.57,"floor sold price,crude oil,price per barrel",27,"fixed price (mbbls/d),crude oil,price per barrel",$60.40,"ceiling sold price,crude oil,price per barrel,",$44.33,"floor purchased price,crude oil,price per barrel,",,,$51.44,"price per barrel,crude oil,price per barrel",collar,oil,,,,,,,,,,,,,,,,,
1,APC20070228,2008,index,,"two-way collars (mbbls/d),crude oil,price per barrel",$92.98,"ceiling sold price,crude oil,price per barrel",$56.07,"floor purchased price,crude oil,price per barrel",$41.07,"floor sold price,crude oil,price per barrel",,"fixed price (mbbls/d),crude oil,price per barrel",,"ceiling sold price,crude oil,price per barrel,",,"floor purchased price,crude oil,price per barrel,",,,,"price per barrel,crude oil,price per barrel",collar,oil,,,,,,,,,,,,,,,,,
