,doc_id,datetime_1,datetime_1_type,vol_1,vol_1_type,price_1,price_1_type,additional,instrument_type,product_type,price_2,price_2_type,price_3,price_3_type,price_4,price_4_type,price_5,price_5_type
15,CLR20110225,Collars,",,,period and type of contractjanuary 2011 march 2011",2622000,",,,bbls",$75|$80,"collars,floors,,range",october 2011 december 2011,collar,oil,79.39,"collars,floors,weighted,average",$89.00|$97.25,"collars,ceilings,,range",91.27,"collars,ceilings,weighted,average",,
17,CLR20110225,Swaps,",,,period and type of contractjanuary 2011 march 2011",7320000,",,,bbls",,"collars,floors,,range",january 2012 december 2012,swap,oil,,"collars,floors,weighted,average",,"collars,ceilings,,range",,"collars,ceilings,weighted,average",,
18,CLR20110225,Collars,",,,period and type of contractjanuary 2011 march 2011",5332620,",,,bbls",$80,"collars,floors,,range",january 2012 december 2012,collar,oil,80.00,"collars,floors,weighted,average",$93.25|$97.00,"collars,ceilings,,range",94.71,"collars,ceilings,weighted,average",,
20,CLR20110225,Swaps,",,,period and type of contractjanuary 2011 march 2011",5110000,",,,bbls",,"collars,floors,,range",january 2013 december 2013,swap,oil,,"collars,floors,weighted,average",,"collars,ceilings,,range",,"collars,ceilings,weighted,average",,
21,CLR20110225,Collars,",,,period and type of contractjanuary 2011 march 2011",4745000,",,,bbls",$80|$85,"collars,floors,,range",january 2013 december 2013,collar,oil,82.31,"collars,floors,weighted,average",$92.30|$101.70,"collars,ceilings,,range",97.58,"collars,ceilings,weighted,average",,
2,CLR20110225,swaps,period and type of contractjanuary 2011 december 2011,11862500,mmbtus,$6.36,swapsweightedaverage,,swap,natural gas,,,,,,,,
2,CLR20120224,swaps - ice brent crude,period and type of contractfebruary 2012 - december 2012,3591500,bbls,$111.12,weightedaverage price,,swap,oil,,,,,,,,
4,CLR20120224,Swaps - ICE Brent Crude,period and type of contractfebruary 2012 - december 2012,1460000,bbls,$107.63,weightedaverage price,january 2013 - december 2013,swap,oil,,,,,,,,
2,CLR20120224,swaps - henry hub,period and type of contractfebruary 2012 - june 2012,1510000,mmbtus,$3.06,weightedaverage price,,swap,natural gas,,,,,,,,
4,CLR20120224,Swaps - Henry Hub,period and type of contractfebruary 2012 - june 2012,3680000,mmbtus,$3.10,weightedaverage price,july 2012 - december 2012,swap,natural gas,,,,,,,,
6,CLR20120224,Swaps - Henry Hub,period and type of contractfebruary 2012 - june 2012,7300000,mmbtus,$3.73,weightedaverage price,january 2013 - december 2013,swap,natural gas,,,,,,,,
5,CLR20120224,swaps,"crude oil west texas intermediate,,period and type of contract,period and type of contractjanuary 2012 - december 2012",7320000,"bbls,bbls,bbls,bbls",$88.69,"swapsweightedaverage,swapsweightedaverage,swapsweightedaverage,swapsweightedaverage",,swap,oil,,,,,,,,
6,CLR20120224,Collars,"crude oil west texas intermediate,,period and type of contract,period and type of contractjanuary 2012 - december 2012",5332620,"bbls,bbls,bbls,bbls",,"swapsweightedaverage,swapsweightedaverage,swapsweightedaverage,swapsweightedaverage",,collar,oil,,,,,,,,
8,CLR20120224,Swaps,"crude oil west texas intermediate,,period and type of contract,period and type of contractjanuary 2012 - december 2012",5110000,"bbls,bbls,bbls,bbls",$88.63,"swapsweightedaverage,swapsweightedaverage,swapsweightedaverage,swapsweightedaverage",january 2013- december 2013,swap,oil,,,,,,,,
15,CLR20120224,swaps,"natural gas henry hub,period and type of contract",3660000,"mmbtus,mmbtus",$5.07,"swapsweightedaverageswapsweightedaverage,swapsweightedaverage",january 2012 - december 2012,swap,natural gas,,,,,,,,
5,CLR20120224,swaps,"crude oil west texas intermediate,,period and type of contract,period and type of contractjanuary 2012 - december 2012",7320000,"bbls,bbls,bbls,bbls",,"collars,floors,range,range",,swap,oil,,"collars,floors,weightedaverage,weightedaverage",,"collars,ceilings,range,range",,"collars,ceilings,weightedaverage,weightedaverage",,
6,CLR20120224,Collars,"crude oil west texas intermediate,,period and type of contract,period and type of contractjanuary 2012 - december 2012",5332620,"bbls,bbls,bbls,bbls",$80.00,"collars,floors,range,range",,collar,oil,$80.00,"collars,floors,weightedaverage,weightedaverage",$93.25|$97.00,"collars,ceilings,range,range",$94.71,"collars,ceilings,weightedaverage,weightedaverage",,
8,CLR20120224,Swaps,"crude oil west texas intermediate,,period and type of contract,period and type of contractjanuary 2012 - december 2012",5110000,"bbls,bbls,bbls,bbls",,"collars,floors,range,range",january 2013- december 2013,swap,oil,,"collars,floors,weightedaverage,weightedaverage",,"collars,ceilings,range,range",,"collars,ceilings,weightedaverage,weightedaverage",,
9,CLR20120224,Collars,"crude oil west texas intermediate,,period and type of contract,period and type of contractjanuary 2012 - december 2012",8760000,"bbls,bbls,bbls,bbls",$80.00|$95.00,"collars,floors,range,range",january 2013- december 2013,collar,oil,$86.92,"collars,floors,weightedaverage,weightedaverage",$92.30|$110.33,"collars,ceilings,range,range",$99.46,"collars,ceilings,weightedaverage,weightedaverage",,
15,CLR20120224,Swaps,period and type of contract,3660000,mmbtus,january 2012 - december 2012,"collars,floors,range,range",,swap,natural gas,natural gas henry hub,"collars,floors,weightedaverage,weightedaverage",,,,,,
2,CLR20130228,swaps - ice brent,period and type of contractjanuary 2013 - march 2013,270000,bbls,$107.87,weightedaverage price,,swap,oil,,,,,,,,
4,CLR20130228,Swaps - ICE Brent,period and type of contractjanuary 2013 - march 2013,1100000,bbls,$109.27,weightedaverage price,april 2013 - december 2013,swap,oil,,,,,,,,
6,CLR20130228,Swaps - ICE Brent,period and type of contractjanuary 2013 - march 2013,5292500,bbls,$105.51,weightedaverage price,january 2014 - december 2014,swap,oil,,,,,,,,
2,CLR20130228,swaps - henry hub,period and type of contractfebruary 2013 - december 2013,13360000,mmbtus,$3.66,weightedaverage price,,swap,natural gas,,,,,,,,
4,CLR20130228,swaps - wti,"crude oil nymex wti,,period and type of contractjanuary 2013 - december 2013",11862500,",bbls,bbls",$92.66,"swapsweightedaverageprice,swapsweightedaverageprice,swapsweightedaverageprice",,swap,oil,,,,,,,,
5,CLR20130228,Collars - WTI,"crude oil nymex wti,,period and type of contractjanuary 2013 - december 2013",8760000,",bbls,bbls",,"swapsweightedaverageprice,swapsweightedaverageprice,swapsweightedaverageprice",,collar,oil,,,,,,,,
7,CLR20130228,Swaps - WTI,"crude oil nymex wti,,period and type of contractjanuary 2013 - december 2013",10311250,",bbls,bbls",$96.20,"swapsweightedaverageprice,swapsweightedaverageprice,swapsweightedaverageprice",january 2014 - december 2014,swap,oil,,,,,,,,
4,CLR20130228,swaps - wti,"crude oil nymex wti,,period and type of contractjanuary 2013 - december 2013",11862500,",bbls,bbls",,"collars,floors,range",,swap,oil,,"collars,floors,weightedaverageprice",,"collars,ceilings,range",,"collars,ceilings,weightedaverageprice",,
5,CLR20130228,Collars - WTI,"crude oil nymex wti,,period and type of contractjanuary 2013 - december 2013",8760000,",bbls,bbls",$80.00|$95.00,"collars,floors,range",,collar,oil,$86.92,"collars,floors,weightedaverageprice",$92.30|$110.33,"collars,ceilings,range",$99.46,"collars,ceilings,weightedaverageprice",,
7,CLR20130228,Swaps - WTI,"crude oil nymex wti,,period and type of contractjanuary 2013 - december 2013",10311250,",bbls,bbls",,"collars,floors,range",january 2014 - december 2014,swap,oil,,"collars,floors,weightedaverageprice",,"collars,ceilings,range",,"collars,ceilings,weightedaverageprice",,
4,CLR20130228,swaps - ice brent,"crude oil ice brent,,period and type of contractjanuary 2013 - december 2013",3467500,",bbls,bbls",$108.49,"swapsweightedaverageprice,swapsweightedaverageprice,swapsweightedaverageprice",,swap,oil,,,,,,,,
